ip_address,network,continent_code,continent_name,country_is_in_european_union,country_iso_code,country_name,subdivision_iso_code,subdivision_name,city_name,metro_code,postal_code,latitude,longitude,accuracy_radius,registered_country_is_in_european_union,registered_country_iso_code,represented_country_is_in_european_union,represented_country_iso_code,represented_country_type,is_anonymous_proxy,is_satellite_provider,autonomous_system_number,autonomous_system_organization,domain,isp,organization,static_ip_score,user_type,country_confidence,subdivision_confidence,city_confidence,postal_confidence,population_density,average_income,user_count,is_anonymous,is_anonymous_vpn,is_tor_exit_node,is_hosting_provider,is_public_proxy,error
192.3.139.90,192.3.139.88/30,NA,North America,,US,United States,IL,Illinois,Chicago,602,60602,41.8483,-87.6517,1000,,US,,,,,,36352,ColoCrossing,colocrossing.com,ColoCrossing,ColoCrossing,,hosting,99,40,10,1,1040,27848,,1,,,1,,
104.227.55.188,104.227.55.188/32,NA,North America,,US,United States,NY,New York,New York,501,10004,40.7145,-74.0029,1000,,CA,,,,,,55286,B2 Net Solutions Inc.,,ServerMania,ServerMania,,hosting,99,60,20,0,,,1,1,,,1,,
64.145.94.204,64.145.94.204/32,NA,North America,,US,United States,TX,Texas,Dallas,623,75201,32.7889,-96.8021,1000,,US,,,,,,12989,StackPath LLC,ipvanish.com,IPVanish,IPVanish,,hosting,99,20,10,1,1242,27798,4,1,1,,1,,
81.171.81.96,81.171.81.96/32,EU,Europe,1,NL,Netherlands,NH,North Holland,Amsterdam,,1091,52.3534,4.9087,100,1,NL,,,,,,12989,StackPath LLC,puregig.net,Eweka Internet Services B.V.,StackPath LLC,,hosting,99,60,20,0,,,2,1,1,,1,,
45.35.94.230,45.35.94.0/23,NA,North America,,US,United States,CA,California,Walnut,803,91789,34.0233,-117.8512,1000,,US,,,,,,40676,Psychz Networks,psychz.net,Psychz Networks,Psychz Networks,,hosting,90,30,10,1,1192,25743,,1,,,1,,
192.162.165.23,192.162.165.23/32,EU,Europe,1,PL,Poland,30,Greater Poland,Wagrowiec,,62-100,52.8095,17.2057,1,1,PL,,,,,,197721,Uslugi Komputerowe Kozdeba Spolka Z Ograniczona Odpowiedzialnoscia,rako-lan.pl,Uslugi Komputerowe Kozdeba Spolka Z Ograniczona Od,Uslugi Komputerowe Kozdeba Spolka Z Ograniczona Od,,residential,80,80,70,60,,,9,,,,,,
23.94.112.88,23.94.112.88/32,NA,North America,,US,United States,CA,California,Los Angeles,803,90009,34.0544,-118.244,1000,,US,,,,,,36352,ColoCrossing,gtt.net,ColoCrossing,ColoCrossing,,hosting,99,60,20,10,,,1,1,,,1,,
73.85.223.140,73.85.223.140/32,NA,North America,,US,United States,FL,Florida,Lake Worth,548,33463,26.5991,-80.1284,5,,US,,,,,,7922,"Comcast Cable Communications, LLC",comcast.net,Comcast Cable,Comcast Cable,68.1,residential,99,90,70,20,1650,19513,18,,,,,,
172.245.70.42,172.245.70.32/28,NA,North America,,US,United States,NY,New York,Buffalo,514,14202,42.8864,-78.8781,1000,,US,,,,,,36352,ColoCrossing,colocrossing.com,ColoCrossing,ColoCrossing,,hosting,99,60,20,10,,,,1,,,1,,
198.144.187.66,198.144.187.0/24,NA,North America,,US,United States,IL,Illinois,Chicago,602,60655,41.6984,-87.7031,1000,,US,,,,,,36352,ColoCrossing,colocrossing.com,ColoCrossing,ColoCrossing,,hosting,99,50,50,20,2287,26625,,1,,,1,,
107.174.236.174,107.174.236.160/27,NA,North America,,US,United States,NY,New York,Buffalo,514,14202,42.8864,-78.8781,1000,,US,,,,,,36352,ColoCrossing,colocrossing.com,ColoCrossing,ColoCrossing,,hosting,99,60,20,10,,,,1,,,1,,
158.222.14.110,158.222.14.64/26,NA,North America,,US,United States,,,,,,37.751,-97.822,1000,,US,,,,,,63119,Inter Connects Inc,usabroadband.net,Inter Connects Inc,Inter Connects Inc,,hosting,99,,,,,,,1,,,1,,
165.231.212.171,165.231.212.128/26,NA,North America,,US,United States,TX,Texas,Dallas,623,75202,32.7767,-96.805,50,,SC,,,,,,41204,Hostcool Limited,sprintbroadbanddirect.com,Fiber Grid Inc,Hostcool Limited,,hosting,99,60,20,0,,,,1,,,1,,
200.10.37.114,200.10.36.0/23,NA,North America,,US,United States,CA,California,Sacramento,862,95814,38.581,-121.4939,50,,HN,,,,,,264850,TODAS LAS REDES SA,,Todas Las Redes SA,Todas Las Redes SA,,hosting,99,0,0,0,,,,1,,,1,,
173.44.154.130,173.44.154.0/24,NA,North America,,US,United States,NV,Nevada,Las Vegas,839,89169,36.1214,-115.141,1000,,US,,,,,,62904,Eonix Corporation,,Eonix Corporation,Eonix Corporation,,hosting,99,60,20,10,,,,1,,,1,,
138.94.217.186,138.94.217.186/31,NA,North America,,US,United States,NY,New York,New York,501,10011,40.7308,-73.9975,50,,US,,,,,,263744,Udasha S.A.,,Udasha S.A.,Philadelphia PA,,hosting,99,0,0,0,,,,1,,,1,,
209.99.165.25,209.99.165.0/26,NA,North America,,US,United States,,,,,,37.751,-97.822,1000,,US,,,,,,58964,IGIGLE HOST,,Connectionet Solutions,Igigle Host,,hosting,99,,,,,,,1,,,1,,
198.144.178.26,198.144.178.0/26,NA,North America,,US,United States,IL,Illinois,Chicago,602,60655,41.6984,-87.7031,1000,1,EE,,,,,,36352,ColoCrossing,colocrossing.com,ColoCrossing,ColoCrossing,,hosting,99,50,50,20,2287,26625,,1,,,1,,
